,user_id,actual,own_rec
435,511,"[ 6533765  6534178   826249   829550   835864   874736   883404   895166
   909638   914190   922907   981760  1020156  1029743  1044078  1116635
  9881834 10457128 12731470  6513810  1062966 12731299   831536   859075
   868075   868161   887325   905340   939636  1056005  1071171  1098066
  1099385  7142556  7410017  7433029   905539  7443013   925258  1120741
 12301100   879755  1046679   983584  1056509  1128240  6904467   918733
   827683   840361  1006664  9526892   819590   844165   959985   995242
  1076206  1126969  1136257   905802   993617  1118178   908531  9835903
  1110572 13210128   849843   996425  1001148]","[1082185, 995242, 1029743, 1106523, 1133018]"
436,513,"[  844179   848029   854716   892433   900586   906883   915264   968449
   977671   990897  1034176  1078478  1093413  1109136  1132771  1135788
  5568135  7409483  9677236 13413299   857503   883963   900802  1054030
  1090286  9835903 12132648 12132685   843911   865026   898121   899473
   962568   977658  1018740  1039505  1117690  1133018  5569471  6463907
   848761   871402   899038   914190   969977  1084412  1125077  6391517
   867188   880308   949635  1130838  6534077  8090532 10341234 12599756
   821083   837107   856252   879948   908318   955399  1011300  1017982
  1034868  1060318  1097635  1119089  1120928 12301109 12810422 13877192
   843239   867621  1089888 12731748 13159241 15596457   822966   827894
   841016   854909   878676   975606  1001788  1039460  1065556  1077709
  1103341  5978656  8119319  9419915  9836912 10351524 12385588   839656
   883912   928751   943063   999714  1017718  1056065 12695977]","[1082185, 995242, 1029743, 1106523, 1133018]"
437,514,"[ 820165  842930  856335  866211  909714  923169  961554 1082185 1127831
 5584645 5584847 5586642 5587043 6979005  852235 1105488 1110843 5588666
 5590287 1101283 1126786 1127328 5585635 5587502 7466806  830701  871208
  880423  916122  950133  954006  995785 1003600 1076226 1096398 1097849
  878465 1069415]","[1082185, 995242, 1029743, 1106523, 1133018]"
438,515,"[  833494   837270   860439   896054   899624   970202   999714  1048727
  1061120  1070702  1081853  1087995  1094280  8090546 13512938 15736861
   830245   856060   985893  1066893  1072968  1106523  1108131  1129266
  5590613  5981074  8359154]","[1082185, 995242, 1029743, 1106523, 1133018]"
439,516,[ 835098  839243  844179 1050229 1110572],"[1082185, 995242, 1029743, 1106523, 1133018]"
440,517,"[ 1128812 12301733  1914917  1957702  2000078   848471   862854   870515
   872791   874354   888275   946193   948509   983078  1035843  1041259
  1051402  1073165  1137688   840361   844155   910673   971852  1041381
  8290587 12603860 15800992   842522   878715   887234   888233   895680
   908846   930666   932006   946244   950557   956902   970028   995628
  1011645  1035143  1045586  1047179  1091472  1107973  9487682 12648735
 13944866 14025503 15972491 16734325 13039539   834484   841841   895617
   908732   967063   987838   995785  1131380  8203783  9884713]","[1082185, 995242, 1029743, 1106523, 1133018]"
441,518,"[ 7168625 10284946 10285243 12487355 13416835   844165   844179   872791
   897125   954493   986912  1070015  1102959   823194   907892   908105
   939900   962568  1046131  1049788  1076105  1090676  9445919  9553031
 16766735   999134 12301404 15596095   829802   860975   865511   913210
   952408   955527   961730   961756   995242  1029125  1031087  1038985
  1060408  1087547  1094823  1116020  1135071  1137775  5577183  5978648
  7442006  8159997  8198836  9859112 12301334 12302114 15927352 16223285
   819518   821465   833584   845208   862732   868588   871756   873861
   891393   903233   929668   935404   961554   969174   981760   990797
   992933   995876  1016709  1023093  1050443  1053690  1069714  1070272
  1075283  1111344  1138467  5592427  5978656  5995217  7406474  7443170
 10344586 12754165 13115637 13115880 13131271 13417199 13672183 13876458
 15452364 15452576 15596225 15971701 15973105   937374   958153   969829
   970941  1079820  1095329  1115896  1135743 13842160    57313    66371
    77661    98894  1055646 13841744  1011089  1014948  1092013  1132911
   871252   873782   911470   935200   979707  1003770  1014915  1055022
  1072523 10285149 10285187 13944807  6391557]","[1082185, 995242, 1029743, 1106523, 1133018]"
442,519,"[  824813   888586   891141   970409  1029743  1039156  1057271  1061203
  9858850 13381748 13876345 16207435   977093  5580793 16219303 16219494
 16219520]","[1082185, 995242, 1029743, 1106523, 1133018]"
443,520,"[  821867   855031   883549   896149   913210   842350   859075  1019230
   840361   860439   867188   871756   873654   883404   902202   903350
   909714   911812   962568   981760   992622   999318  1029743  1035843
  1055459  1098815  1104343  1123146  5569349  7082636  8090537  8090545
  9445919 10250438 10285106 10285141   879755 10254195 12987831   881883
   907625  7082640   834117  1133018  7167218   995242]","[1082185, 995242, 1029743, 1106523, 1133018]"
444,521,"[  937371  1056212 10121931   837760   859237   990527  8090669 12948295
 16769795 16827955]","[1082185, 995242, 1029743, 1106523, 1133018]"
445,523,"[  843043   843222   884686   894236   908514  1003472  1082185  1110572
  5978648 10456184 12525082   842522   844179   867188   940947   949373
   952408   960791  1045062  1057231  1113588 12812261   914190   995242
  1057260   926804  1000050  1070820 13842090 13842214   821730   833465
   878285  1112761 15595822   933230   997415  6534178   836687   895070
  1005186  1056651 15926927   872137   986912  1004596  1007191  1106523
  1126895  9297223 15596141 15971808 15972814   986021   862010   954778
  9527295 17105058   828557   829315   832678   835300   885858   886317
   920002   962229   976955   987941  1022003  1024557  1028166  1051781
  1068292  1076738  1092026  1122358  7024927 12672980 13842139 12171186
 14077530   845265   970861  1004867  9857388 12523982   970600   995686
  1006027   898121   968072  6704319 13210128   830097   850562   857503
   859075   878026   892004   898212  1039156  1047928  6979518 13512916
 16809455   835694   883404   999730  1044188  1048851  1110695  9487905
  9487984 16219318  1125390   821845   868082   911812   939423   940766
   943035   948102   979707   981760  1064441  1119060  5569049 10204452
   852163   989964  1083207  6772634 13115568 13115785 13877191   902094
   923670   962970  1010195  1076056  5978656 10121958 10204830 12811490
 16223264   869195   974204  1061157  9803601  1002178  1091858  1119761
   897088   976767  9707055 13007830 13986088 15742055  1062128  6555259
  7442133  8293805 12385359 12524702   837644   861279   917816   921920
   952700   970619   990519  1063578  1077717  1108590  1116770 10455568
   954673  9296856   919423  1040346  1131488  9361991    34980    48451
 13956998 13957001   835973   873887  1056775  9487644   890511  1011300
   852856  1111722 13213079    47237    49146 12355478    60879    77032
    97037   251023  5134297  5733999  5984636  6983017 13047384]","[1082185, 995242, 1029743, 1106523, 1133018]"
446,524,[1106523],"[1082185, 995242, 1029743, 1106523, 1133018]"
447,525,"[  842795   900598   906262   914264   995151  1011300  1080944  1110572
  5591260  9396764  9803207 12484608  8160259  8160377 10285487 15926887
 15926962  1006718 16122432   869604   884366   888210   907061   918683
   933102   938863   942151   961998  1010185  1086274  8160397  8160474
 17319084]","[1082185, 995242, 1029743, 1106523, 1133018]"
448,526,"[  852317   919644   922318   930917   932006   950557   954721   961269
  1011645  1045220  1095242 12263759   825753   830750   831536   847982
   853317   854520   872021   890862   898762   912553   913210   958046
  1002558  1037894  1046551  1048893  1087353  1103741  5584007  5584027
  5584808  5585727  5585735  5587133  5587502  5590287  6979160  8205620
  9677236  9707078  9707461   835278   859026   867668   892008   986760
   994928  1094352  1103618  1137346  9245413  9245462 10121739 13841744
   847270   882496   896444   908213   923746   931672   937406   940700
   952317   965766  1039156  1053875  1062863  1075283  1075470  1094955
  1118481  1127025  6979089  7025088  8090556  8353113 12301100 12524174
 15926887   903183   962185   991951   999207   859191   860776   938300
   951190  1029616  1060707  1097418  6034857  9527350 12524061  6534178
   397896  8020151 13417199 13417642   859426   995242  1051283  1082185
  9526892 15927513  9487607   927360   931688   957063   998008  1046700
  1081189  1106301  1124694 15741861 15830580 15831197 15971686 16053266
   834117   835098   879948   891171   895971   907994   919157   929768
   938700   954351   982960   987480  1033217  1080279  1085604  1099862
  1128665  1138953  5568249  5569230  8293805 10204738 12263026 12263241
 13158992 13511722 15452499 15596140 15596908 15596923 15716907   889632
   990656  7407187 15452301   997200  1095870  5568893  6463754 13842160]","[1082185, 995242, 1029743, 1106523, 1133018]"
449,527,"[  828113   865456  1011926  1046584  1084025  1123384  1131321  5589247
  6514259 12988031 13115641 13115699   921504  7166696   861272   901205
   955075  1134732  8293382   883932   972437  1022872  5567582   850745
   877383   890407   903123   910109   912704   933456   976199   976300
  1027569  1035788  1048563  1059308  1065032  1065556  1096792  1131620
  6463742 12673243 15629917   983006   933835  6602341 15972361 17104444
   904729   923005   945805   966058   979523   986947  5979703  5979740
 10355983 12987976 15596316]","[1082185, 995242, 1029743, 1106523, 1133018]"
450,528,"[ 914190 1048257 5573295  866871  907099 1095275 9419805 9526159  902167
  991546 1003616 1004001 1070820 1124507 1139782]","[1082185, 995242, 1029743, 1106523, 1133018]"
451,530,"[  919535   927191   998666   831366   839243   870804   872137   902806
   911812   914190   949620   952376   954351   960613  1013149  1043301
  1067565  1076738  1132295  7139529 10351615   847270   849697   886686
   920033   979707   995785  1117514  1121393  6034857  9553031  9803810
 12171999 13071586 13071901 13072715 13115375 15863917  8019921]","[1082185, 995242, 1029743, 1106523, 1133018]"
452,531,"[ 1022003  1050229  5565925  8019902   836823   844179   867188   930917
   944534   951561   981760   995242  1015067  1027191  1054539  1056775
  1066289 12263841 15596933 15597066 16770195]","[1082185, 995242, 1029743, 1106523, 1133018]"
453,533,"[  838411   857849   899624   915041   962568   994928   995242  1013259
  1030995  1038663  5570069 16809431 16809471 16809685   871756   949616
   954351  1046465  1053690  1075282  1101449  1111072  1114006  1119060
  1128744 12524589   824122   984677  1074524   827656   892556   901062
   912860   913278   929726   937789   967041   968214   969974   977290
   995785  1004906  1038325  1065758  1068258  1069312  1076855  1100273
  1122085  1123434  1126252  1134379  5564713  6463824  6552130  9831489
 10150165 12384539 12524512 12582321 12649465 15800655 16219504   998963]","[1082185, 995242, 1029743, 1106523, 1133018]"
454,534,"[  874058  1111230  7167218   822936   996123  9911484  1017061  1059308
  1097661  1109598 13381815  5591089 14077304   982039  1014810 13512916
  1098096  7167249 10456458   959544  1130111  1136090  5591894   905986
  1003600  1053104  1081189  1124695  1128900   937633   985361   993466
 13189726   908181   878611   995055  1110764  1039156   962187  5591038
   898980  1134554   904833   927191   855718   838202   891148  1010424
  1026699   890862   819868   921852   994223  1102759  1105358   847789
  1071333  6464074   862349   939578  1117500   952830  1103742 15717050
  1055915   861272   866227   921836  8119301]","[1082185, 995242, 1029743, 1106523, 1133018]"
455,535,"[  918771   935798   970747   979707   982960  1004906  1025326  1033651
  1069047  1118533 15717074]","[1082185, 995242, 1029743, 1106523, 1133018]"
456,536,[ 1018688  1029743   904360   959821   987562 10204393   913202  1051211],"[1082185, 995242, 1029743, 1106523, 1133018]"
457,537,"[  827919   835482   881883   914190   916050   917381   919427   986943
  1094262  1134210  5571767  8293360 13654702 15452585   830920   925626
  1004436  1116635  1127624  9526950  9885520 12352017 15973034 17291665
  1206022  1256103  1175649  1216523  1284630  5664752  8360414  9938774]","[1082185, 995242, 1029743, 1106523, 1133018]"
458,538,"[  820560   847277   870780   879635   903325   906838   962568   995679
   999076  1069415  1082185  1129671  6424231  9297155  9677056 12172170
 12352204 13039977 15687043   821083   829394   832249   833556   834484
   842125   846907   850454   856435   867447   868971   873056   888988
   901396   904480   909714   914190   919534   925862   926656   929854
   936355   945649   945805   968668   970409   972894   985889   997979
  1004054  1017772  1017890  1033324  1037640  1040693  1040817  1051093
  1055646  1058231  1070820  1071447  1076374  1082212  1086274  1090027
  1092303  1095275  1098844  1101477  1109948  1113415  1117336  1121603
  1137257  5566963  5568956  6772676  9677021 12302067 15972790   836286
   840989   845789   846417   890620   932999   933913   943940   950849
   991411   993466  1009368  1010681  1027068  1055835  1097418  1124674
  1131892  5568378  5581401  7443436  9296919 12263492 15511151 15596773
 15630027   945774  8019921   848168   865115   871754   938300   945139
   974860   982397   986947  1019763  1028537  1040371  1041928  1044800
  1045150  1051516  1055932  1062128  1070803  1075087  1080669  1100066
  5995217  7168995  9553363 12132034 12811705 15596355 15972392]","[1082185, 995242, 1029743, 1106523, 1133018]"
459,539,"[  860975  1126899  1131892   872137   896613   902202   981760  1046465
  1068719  1109352  1113415  6534178  1055646   862799   910032   976199
   977658  1084490   821970   823742   953524   965210  1062966  1104164
  1130877  1137025   854496   856252   858918   871548   878715   914190
   999270  1005902  1040935  1044895  5978648  8014645 12578357 14077333
   841173  1006184  5978656   835530   838396   909349   916122   923746
   989935  1024998  1070702  5592931  9297403 12731701 13877192  1000840
  1058997   845208   880333   900802   910439   963971   995785  1038746
  1041259   970202   874643  1027168  1082185  5569379  9837501   833025
   848029   929726   937292  1012816  1128861]","[1082185, 995242, 1029743, 1106523, 1133018]"
460,540,"[  860776   916122   989830   993441   995965  1005274  1017718  1100096
  1126177  1129252  5569993  6391381  9676944  9676947  9677791 13115578
  1082398   852182   873423   960729   998334  1118606  7409949 12132685
 15595711   856705   857735   995785  1000237  1036501  1081177  1082185
  6602729  9677052 12385916 13513126 14025389   844054   866540   893118
   941313   948384 16809533  6534178 15831255 15831567   840685   841016
   850690   941472   948020   951412   985399  1008547  1038497  1047769
  1087753  1096626  5995279  6463520  6904456  7442821 12384779 12525244
 12781725 13007239 15596694 15830451   881249   950368   958741  1003141
  1008132  1014822  1022757  1039156  1068719  1070064  1075637  1133018
  7409521  9677919 10121739 10355870 12670071   820165   841220   842769
  1016302  1028432  1128995  6034857  6463907  6602440  9419401  9676991
  9677624  9677690 15625746 15629927]","[1082185, 995242, 1029743, 1106523, 1133018]"
461,541,"[  905731  1066514  1027521  1067808  6533765  6534166   845622   848029
   852182   913278   919948   995276   995965  1040510  1116005  1134366
  5588161  9526172 12301176 15926725]","[1082185, 995242, 1029743, 1106523, 1133018]"
462,542,"[  865303   918733   976864  1130946  9526563   849843  1050851  1074524
  1088191  1094955   821863   830125   831628   834009   835619   840361
   845705   860776   864774   881917   896862   905592   916122   927784
   929484   934131   937343   938300   938566   957232   965766   970202
   975155  1027168  1040346  1041259  1042544  1045121  1051402  1061924
  1065593  1068719  1077540  1078652  1122358  1130858  1131310  6034857
  6039584  6464101  8090537  9245462  9707340 12524733 12777679 12782154
 12810393 12946027 15596141  6533765  6534178   873178  1106523   824796
   910071   942272   985866   999858  1003487  1009368  1034499  1074405
  1082990  1123014  5592736  6552254 12427880   968936 13416054   865456
   844165   851057   890423  1089108  1092948  1124729   850529   900370
   994149  9527184 12648967 12670071   915041 17104772]","[1082185, 995242, 1029743, 1106523, 1133018]"
463,543,"[  820486   863505   879734   915616   923149   969836   989409   991761
  9527223 12349795 13007721 13189513 13945206 15831285   822517   862651
   882289   915274   938141   949377   964327  1025719  1026712  1119374
  1134296 10456404 12754036 13095291 13911225   827578   868972   886481
   951176   968687  1100410  1126310  8090537  9803371 13094913 13382465
 13986597 15716589 15972919   845774   995242   996955  1058987  1130692
  1138858  5565664  9575582 12781982 13955760   829459   907281  1034125
  1056162  1109408   987696   822241   844179   857074   866140   900491
   939578   824642   826597   869573   894544   958594  1004585  1046827
  7443013  8090521  9526624   883916   891648   899580   902192   990256
  1001646  1039566  1113588  1134821  1137273 10284975 15716073]","[1082185, 995242, 1029743, 1106523, 1133018]"
464,544,"[  861272   868546   873169   965165   970365  1110126  9445916 12524925
 13653499   838794  1085604  7440663]","[1082185, 995242, 1029743, 1106523, 1133018]"
465,545,"[  822848   895540  1093748  1103445  5978656  9571047   836281   840361
   873044   878996   879143   892618   902333   906502   907281   916872
   937413   940980   941052   949742   956902   993028  1017041  1022981
  1040807  1046700  1062283  1066694  1070076  1076738  5564833  9881779
 12188610 13381458 15717291 15831151   853309   898980   922127   959773
   965331  1037863  1045154  1112043  1126409  1135788  6533581 12263083
 13910702 15973209]","[1082185, 995242, 1029743, 1106523, 1133018]"
466,546,"[  852998   859026   872702   887691   902192   914190  1002459  1013149
  1041476  1094352  1096036  1124207  5978648  5995215 10284946 13210128
 13417591 17106197   879143   886803   889319   966494  1075315 10198378
 12349795 13417846 15596933 17105736  6534178   877447   969419  1107661
  1116460  7140623]","[1082185, 995242, 1029743, 1106523, 1133018]"
467,547,[ 821156  885290  986912 1029743 1081574 1126895],"[1082185, 995242, 1029743, 1106523, 1133018]"
468,548,"[  912657   913598  9859060 13671765   824073   831181   847270   847432
   854852   860776   868574   869868   870515   878775   885406   968880
   970028   970202   981760   982958   998549   998964  1001412  1012913
  1050516  1052094  1053322  1069454  1072405  1082185  1085457  1098435
  1101706  1110409  1112087  1121213  1123820  7166839  8157486  8276172
  9333988  9337572 12524392 12604598 13008459 13511413 13944858 15972570
   852035   906655   923746   955587  1061394  1068957  1103160 10284931
 15716751 15972074   873155]","[1082185, 995242, 1029743, 1106523, 1133018]"
469,549,[  826249   826666   850020  1125141  6632935 15717057  7409548],"[1082185, 995242, 1029743, 1106523, 1133018]"
470,551,"[  838356   852543   860866   907099   919534   919681   946276   962161
   974904   976199   981760   992395   995242  1004906  1022254  1027090
  1056933  1058997  1088345  1102371  1104343  1131351  5578856 10201695
 16100433   835300   888463   973861  1033220  1041259  1049695  1050082
   935741  1085206  1115187  1130375 12298966 15927246   920308  1064892]","[1082185, 995242, 1029743, 1106523, 1133018]"
471,552,"[  834833   899624   903399   983584   985119  1021133  1026346  1033615
  1106523   915041   938547  1012922  1069039  1135258 12810472 13909964
 16809581   833754   844165   857638   857849   863885   871611   877447
   884774   893258   900370   907631   925626   937791   945200   968214
   971195   981240   985999   988460   995242  1040183  1044078  1053733
  1056762  1063700  1066657  1076467  1076875  1088191  1092026  1096036
  1101173  1113588  1115801  1125197  1129949  5580577  5978656  7168978
  7410016  7410290  9368132 10457128   853178   866778   867668   870420
   871570   907892   910745   915621   931297   934131   947113   965719
   973135   999134   999779  1024581  1034499  1042438  1044068  9574694
 10145219 15596053 16809431 16809471   883404   996425  1058997  1077555
  1116589  1133018]","[1082185, 995242, 1029743, 1106523, 1133018]"
472,553,"[  995242  1025641  1036501  1042907  1044805  1054539  1092149 15686844
   821344   883404   953476  1017772  1029743  1030362  1040530  1046957
  1057365  1072787  1072948  1077143  1123014  7110467  7432861  9419648
  9527093 13190294   847241   923967  1034511   842416   894357  1085872
 12256522 17104813   819518   859075   861021   868764   873654   916463
   951590   960984  1040807  1091499  1128744  1131974 13910618 15972946
  1009361 13416533 13776851 13777101   820923   849264   850044   879504
   904092   916381   956887   973889   976998   998008  1053690  1054326
  1058930  1065593  1068719  1070433  1110964  1111344  1115358  1120353
  1130850  6464180  6551990  9368325 13213058 13213356 15481724 17105484
 15971623 15972055 15972951   837167   837677   847066   885697   903350
   931255  1011215  1017254  1057315  1079223  1081853  1106422  1110244
  1117602  1132771  1135834  1138443  5569327 12949804 15596338 15926507
   844165   907994  1022872  7441558 12262751   845705   849202   874061
   896938   899459   913202   946308   948756   977873   988693  1037332
  1039126  1087102  1106301  1113675  5591170  6463524  6463947   884039
  1017061 15972817 15973205]","[1082185, 995242, 1029743, 1106523, 1133018]"
473,554,"[  846695   849996   862349   891141   892531   909714   920112   930242
   947200   950761   982982  1015141  1020623  1031522  1034886  1069103
  1072086  1082185  1105457  1106523  1115228  1130323 10456568 13007434
 13986274 13986534 13987153 14050766 16809649   839243   907113   911812
  1022097 16809666   826249   831848   848681   867785   873474   883404
   919051   919180   924786   930504   933060   946839   983278   987724
   993638  1000856  1009128  1054644  1067874  1070272  1071625  1084138
  1103513  1110031  1123420  5995874  7410342  7441192  8090537  8119134
  9546981  9835315 10250632 10457233 12302069 13877183 15452820   824180
   867188   901062   917532   957232  1069979  6464166  9245486]","[1082185, 995242, 1029743, 1106523, 1133018]"
474,555,[  900427  1084686  1110263  1137169  6514288 10254175],"[1082185, 995242, 1029743, 1106523, 1133018]"
475,557,"[  819330   834484   840692   846634   857503   868727   879528   881426
   889167   891263   905436  1044404  1049781  1082185  1099468  1130573
  1132478  1133018  1135932  8118763  9522453  9524511  9837565  9878610
 10284931 10285296 13417647 15926621]","[1082185, 995242, 1029743, 1106523, 1133018]"
476,558,"[  844179   890296   980727   981760  1033220  1106523 16809471   891061
   896369   983096  1028230  1043590  1056509  1127338  9858819 12172071
 12731754   860439  1126895   827683   835243   877361   893018   896672
   907132   910745   929768   933067   946964   953539   992765   995785
   999858  1030913  1044068  1059969  1084551  1139066  5592993 12384953
 13841744]","[1082185, 995242, 1029743, 1106523, 1133018]"
477,560,"[  831181   897732   978343   982393  1029743   919766   840601   916381
   932298  5568378  9488064   889944  7025106  8358671 10285442 13876815
 15797145 15972071   849843   870428   955075  1046584  1060673  1125530
  8068397 13417863 13777227  6534178  1000840  6463752 13190418  1082814
   855745   901067  1076352  5566748  7143068  8359136 15596772   826860
   869177  5592232  6552959  6979222  1072685   861272   870547   907014
  1004475  1106894  7410168  9676755  9832160  9835265 13671735   818980
   821174   821976   833025   833715   835098   836393   842125   843464
   848356   850679   852540   863885   864532   866871   896085   896446
   899115   903239   903350   905217   911703   911812   921554   921744
   924760   933835   937060   937791   945273   948861   949142   951703
   953345   956672   957063   963550   964520   970924   980777   981760
   987628   988460   999621   999965  1000329  1003188  1006187  1008547
  1013321  1016314  1022003  1022956  1026292  1030040  1038214  1045220
  1054326  1054814  1061220  1063265  1070538  1071939  1077851  1079542
  1082185  1082627  1083493  1091922  1094955  1098248  1100140  1104414
  1108854  1116096  1117569  1123420  1124674  1130763  1131351  1131529
  5565453  5585701  5591154  5591170  7166817  8203629  9194664 12352204
 13417590  9655709 13417765 13776691 15511848   840640   873782   935200
   957232   993466   995242   999104  1005176  1013578  1014915  1033846
  1117514 12757497  9526949   879310   829515   903567   920900   965956
   992292  1009977  6919630 10351524 12987926 13512040 13986424   839346
   975644]","[1082185, 995242, 1029743, 1106523, 1133018]"
478,561,"[  824977   854502   859753   860776   861706   892314   893042   902856
   909268   920724   932179   944564   958647   961554   970202   981760
  1008316  1027521  1051546  1053924  1055074  1058997  1070702  1071733
  1077285  1082185  1105623  1136778  5567428  6034857  7410288  9834988
 12811450 13512094 15717118   847270   987227  1094781  1109832  7409929
  8065237   870559   872137   891452   916122   938138   990072   995242
  1000753  1112627  1120009  8119101  8180927  9522453  9526424 13671473
 15797817]","[1082185, 995242, 1029743, 1106523, 1133018]"
479,562,"[ 847982  898510  937413  965842 1007136 1041512 1044805 1074333 1072693
 8019438 9553401 1029743 1082185  862799  979022  981760  999270 1099316
 1112905 5569854 7025046  883404  965395  957951 1004996 1053016 1100972
 1115069  854405  871061  901470 6533591 9527303 9676755  852856 1027569]","[1082185, 995242, 1029743, 1106523, 1133018]"
480,563,"[  833723   860776   873527   912704   913202   913814   923746   945662
   960505   961554  1003039  1029743  1051305  1071594  1074333  1098066
  1123536  1138189  6633273  9707078  9707461 12172314 12301216 13776981
 16219255 16223070 16734047 16770088  6534178   827176   830582   842707
   852317   854852   915617   928961   951176   959219   992730   995242
  1003218  1025641  1070727  1082185  1085256  1090040  1133072  5568378
  5575228  5978656  6632384 12301268 13115727 14077803 15659810 15741259
 15830542  1075368   847634  1059308 15596300]","[1082185, 995242, 1029743, 1106523, 1133018]"
481,564,"[  824005   989824   995785  1027168  1039505  1086858  1091090  1137694
  7147475   881074  1009142  1051567  1057315 13416091  1135868   962229
  1043128  1105488  1130763  6514160  7166791 12263931]","[1082185, 995242, 1029743, 1106523, 1133018]"
482,567,"[  842522  8119129  1044078   925514   938700   949616   987480  1100140
  9879409 10285106 15597066   986912  1139830   874209  1097396  1076875
  1077143 12812535   824502   830015   844179   877662   886703   915651
   975092   987724   996891  1031326  1080331 12811532   974156   885655
  6463592   845348   862582   984371  1076211  1101932  1106523 15452812
   861279  1038217  1070702 10456164   916122   974250  1089766  1123420
  6463742   851057   901578   908531   951971 10254584 13945070 15506577
 15972474  9884682 13380863  1057113   917742   930666   995686  1070015
  7167836   993327  1005186  9420312 12811990   843171   870547   889774
   910109   940332   952981   961220   968072   993028  1133018  5566474
 15660095 15687115   844165   869388   905868   976864  1027136  1043590
  1074524  1092026  1106346  1123014  5570069  9487606 10204437 12670071
 12695656]","[1082185, 995242, 1029743, 1106523, 1133018]"
483,568,"[  822225   829427   830503   835788   836445   846830   851676   863802
   878131   883963   886481   887691   888431   890695   902192   905539
   907631   917816   918345   922636   923849   936634   936753   947013
   961554   971949   995226   996444   997988  1006586  1008334  1015474
  1015731  1020604  1025545  1042544  1043590  1051305  1052975  1067749
  1072483  1082185  1082454  1094308  1095700  1103618  1103629  1103691
  1106523  1113111  1116253  1122358  5564906  6513604  6513713  9526666
  9527487 15596279 16200738   910673   920308  1104649  7147145   835243
   874736   882441   995055  1001148  1107289   849843   876932   896974
   947798   957951   985893  1083787  1088771  1108168  1129787   864225
   865330   917277   959409   988572   999971  1011832  1033615  1056762
  1081355  1084008  7146027   969568  1081262  1088835  1120741   864532
   961747  1038663  1103903  5572738   898980   905817   926927   985119
  1045109  1050381  1055646  1058779  1075398  1077703  1099905  1132770
  1133018  1133072  5567502  5585510 12427880 14025185 15717057 15927057
   854502   931671   934112   952893   967757  1005186  1007136  1027168
  1040669  1065670  1068447  9297154 16219502   867020   892630  1051323
  1101477  1139142  9677171  9677454   823990   834833   861279   926025
   951590  1026346  1046055  1075765  1076146  1098066  5569303  5570595
  5590613 12781777   976335   886787   928932   951190  1128613  5568378
  5591083   844165   902202   977014  1012587  1105917  1127758 12731517
  1026362  1030961  1084203  1135071   906262   995230 13115938]","[1082185, 995242, 1029743, 1106523, 1133018]"
484,569,"[  921406  1131374  1031867  6554712 14111036   828114   855138   861973
   958891   988030   995242  1002771  1065380  1112238  1117813  1121213
  6553237  7168895  8293439  8293600 12428017 13115644 13115809 15571719
 15831151   847219   862010   897732   902989   905619   932529   943853
   970160   981677   993988  1025055  1028473  1122568  1135908  6391080
  6553113  9934898 15596568 15716641 15926998]","[1082185, 995242, 1029743, 1106523, 1133018]"
485,571,"[  819518   836645   853529   861380   873754   879057   881883   896696
   899624   952789   954351   971660  1006062  1010870  1059969  1094619
  1103712  1112598  1122889  1135868  5592694  6533878 13115915 13213075
 13986663 15596674 16059046 16223114]","[1082185, 995242, 1029743, 1106523, 1133018]"
486,573,"[  936924   849843   872186   969039  1008032  1011457  1029743  1044207
  1082398  1103105 10121610  1070702   886159  6514085]","[1082185, 995242, 1029743, 1106523, 1133018]"
487,574,"[  829495   831063   841228   862130   889511   891505   905913   915041
   957411   970924   978906   983584   988505   999971  1018007  1024032
  1032497  1077490  1081853  1082185  1131974  1135932  1138953  5981267
  6391174  7166791  8020224  9296922  9878612 12302069 12484491 13115839
 13381815 13877197 15452645 15596513 15596514 15596771 15715922 15926612
 15926638   837098   840361   849688   866172   883404   896369   900698
   938700   958909   973861   976955   986393  1013321  1024731  1029743
  1031906  1071554  1077430  1116096  1130468  1136988  5586225  5978656
 13986534 13987338 15926712 15926775   873203  1046262 10149761   819063
   828867   834484   835530   839747   849505   868539   883068   887342
   887393   897671   897752   898510   908531   916381   954673  1002178
  1005609  1018769  1039156  1056973  1071652  1079228  1083446  1088836
  1101449  1122547  5568155  5978648  7152889 10456575 15452726 15717118
 15925334 15925769 15926885 15926887   853927   856790   890455   898212
   914190   920308   948254   989069   994685  1011884  1019286  1050915
  1059922  1084567  1130458  1135959  9803352 14025694 15926863 15971808
 15972814   982197  1003793   822407   827667   854405   863447   882595
   883912   893258   913490   929433   940766   942778   946055   963226
   969568  1000672  1005176  1031833  1100124  1106301  1133018  5568721
  8019216  9859219 12386080 15596467 15717057 17104444 17104930   932949
   826952   853904   881708   902856   921852   980727   986121   990984
   995242  1061912  1105661  1107537  1120532  1132178  1139024  7144140
 10456371 12487689 13008079 15596468 15596593]","[1082185, 995242, 1029743, 1106523, 1133018]"
